Start_Building,Start_Lat,Start_Lon,End_Building,End_Lat,End_Lon,Distance (m),Terrain,Walking_Speed (m/s),ETA (min),Path
ADMINISTRATION BLOCK,3.006333,101.720479,Tower Block,3.008645,101.721409,277.32,concrete,1.3,3.56,"[(3.006333, 101.720479), (3.006589, 101.720572), (3.006814, 101.720654), (3.006883, 101.72068), (3.007036, 101.720743), (3.007031, 101.720755), (3.007255, 101.720848), (3.007472, 101.720934), (3.00765, 101.721013), (3.007757, 101.721061), (3.007843, 101.7211), (3.007979, 101.721155), (3.008179, 101.721234), (3.008229, 101.721254), (3.008312, 101.721289), (3.008403, 101.721323), (3.008523, 101.721365), (3.008645, 101.721409)]"
ION2,3.008366,101.72091,ACADEMIC BLOCK,3.005997,101.721394,377.61,concrete,1.3,4.84,"[(3.008366, 101.72091), (3.008229, 101.721254), (3.008179, 101.721234), (3.007979, 101.721155), (3.007843, 101.7211), (3.007757, 101.721061), (3.00765, 101.721013), (3.007472, 101.720934), (3.007255, 101.720848), (3.007031, 101.720755), (3.007036, 101.720743), (3.006883, 101.72068), (3.006814, 101.720654), (3.006589, 101.720572), (3.006333, 101.720479), (3.005997, 101.721394)]"
ION2,3.008366,101.72091,ADMINISTRATION BLOCK,3.006333,101.720479,269.32,concrete,1.3,3.45,"[(3.008366, 101.72091), (3.008229, 101.721254), (3.008179, 101.721234), (3.007979, 101.721155), (3.007843, 101.7211), (3.007757, 101.721061), (3.00765, 101.721013), (3.007472, 101.720934), (3.007255, 101.720848), (3.007031, 101.720755), (3.007036, 101.720743), (3.006883, 101.72068), (3.006814, 101.720654), (3.006589, 101.720572), (3.006333, 101.720479)]"
ION2,3.008366,101.72091,KAA I,3.006982,101.721075,245.93,concrete,1.3,3.15,"[(3.008366, 101.72091), (3.008229, 101.721254), (3.008179, 101.721234), (3.007979, 101.721155), (3.007843, 101.7211), (3.007757, 101.721061), (3.00765, 101.721013), (3.007472, 101.720934), (3.007255, 101.720848), (3.007031, 101.720755), (3.006972, 101.720904), (3.006899, 101.720874), (3.006839, 101.721022), (3.006982, 101.721075)]"
ION2,3.008366,101.72091,KAA II,3.004261,101.721313,599.59,concrete,1.3,7.69,"[(3.008366, 101.72091), (3.008229, 101.721254), (3.008179, 101.721234), (3.007979, 101.721155), (3.007843, 101.7211), (3.007757, 101.721061), (3.00765, 101.721013), (3.007472, 101.720934), (3.007255, 101.720848), (3.007031, 101.720755), (3.007036, 101.720743), (3.006883, 101.72068), (3.006814, 101.720654), (3.006589, 101.720572), (3.006333, 101.720479), (3.005997, 101.721394), (3.00568, 101.721268), (3.005457, 101.721179), (3.005437, 101.721222), (3.005268, 101.721152), (3.005084, 101.721081), (3.004978, 101.721146), (3.004871, 101.721149), (3.004773, 101.721204), (3.004498, 101.721358), (3.00443, 101.721227), (3.004368, 101.721258), (3.004333, 101.721276), (3.004296, 101.721295), (3.004261, 101.721313)]"
ION2,3.008366,101.72091,KAW I,3.00676,101.720992,238.4,concrete,1.3,3.06,"[(3.008366, 101.72091), (3.008229, 101.721254), (3.008179, 101.721234), (3.007979, 101.721155), (3.007843, 101.7211), (3.007757, 101.721061), (3.00765, 101.721013), (3.007472, 101.720934), (3.007255, 101.720848), (3.007031, 101.720755), (3.006972, 101.720904), (3.006899, 101.720874), (3.006839, 101.721022), (3.00676, 101.720992)]"
ION2,3.008366,101.72091,KAW II,3.004961,101.721446,517.57,concrete,1.3,6.64,"[(3.008366, 101.72091), (3.008229, 101.721254), (3.008179, 101.721234), (3.007979, 101.721155), (3.007843, 101.7211), (3.007757, 101.721061), (3.00765, 101.721013), (3.007472, 101.720934), (3.007255, 101.720848), (3.007031, 101.720755), (3.007036, 101.720743), (3.006883, 101.72068), (3.006814, 101.720654), (3.006589, 101.720572), (3.006333, 101.720479), (3.005997, 101.721394), (3.00568, 101.721268), (3.005457, 101.721179), (3.005437, 101.721222), (3.005268, 101.721152), (3.005208, 101.721289), (3.004975, 101.721407), (3.004961, 101.721446)]"
ION2,3.008366,101.72091,KBP I (EAST),3.006915,101.720413,241.71,concrete,1.3,3.1,"[(3.008366, 101.72091), (3.008229, 101.721254), (3.008179, 101.721234), (3.007979, 101.721155), (3.007843, 101.7211), (3.007757, 101.721061), (3.00765, 101.721013), (3.007472, 101.720934), (3.007255, 101.720848), (3.007031, 101.720755), (3.007036, 101.720743), (3.006883, 101.72068), (3.006814, 101.720654), (3.006915, 101.720413)]"
ION2,3.008366,101.72091,KBP I (NORTH),3.007784,101.720685,149.91,concrete,1.3,1.92,"[(3.008366, 101.72091), (3.008229, 101.721254), (3.008179, 101.721234), (3.007979, 101.721155), (3.007843, 101.7211), (3.007757, 101.721061), (3.00765, 101.721013), (3.007784, 101.720685)]"
ION2,3.008366,101.72091,KBP II,3.004822,101.722189,599.78,concrete,1.3,7.69,"[(3.008366, 101.72091), (3.008229, 101.721254), (3.008179, 101.721234), (3.007979, 101.721155), (3.007843, 101.7211), (3.007757, 101.721061), (3.00765, 101.721013), (3.007472, 101.720934), (3.007255, 101.720848), (3.007031, 101.720755), (3.007036, 101.720743), (3.006883, 101.72068), (3.006814, 101.720654), (3.006589, 101.720572), (3.006333, 101.720479), (3.005997, 101.721394), (3.00568, 101.721268), (3.005623, 101.721395), (3.005591, 101.721465), (3.005576, 101.721497), (3.005606, 101.72151), (3.00541, 101.721997), (3.005367, 101.721982), (3.005342, 101.722047), (3.005328, 101.722084), (3.005148, 101.722012), (3.004964, 101.721938), (3.004945, 101.721931), (3.004858, 101.722115), (3.004822, 101.722189)]"
ION2,3.008366,101.72091,KEE I,3.007416,101.720382,214.31,concrete,1.3,2.75,"[(3.008366, 101.72091), (3.008229, 101.721254), (3.008179, 101.721234), (3.007979, 101.721155), (3.007843, 101.7211), (3.007757, 101.721061), (3.00765, 101.721013), (3.007472, 101.720934), (3.007543, 101.720759), (3.00734, 101.720668), (3.007334, 101.720665), (3.007306, 101.720653), (3.007416, 101.720382)]"
ION2,3.008366,101.72091,KEE II,3.004173,101.719735,638.31,concrete,1.3,8.18,"[(3.008366, 101.72091), (3.008229, 101.721254), (3.008179, 101.721234), (3.007979, 101.721155), (3.007843, 101.7211), (3.007757, 101.721061), (3.00765, 101.721013), (3.007472, 101.720934), (3.007255, 101.720848), (3.007031, 101.720755), (3.007036, 101.720743), (3.006883, 101.72068), (3.006814, 101.720654), (3.006589, 101.720572), (3.006333, 101.720479), (3.006475, 101.720115), (3.00617, 101.719995), (3.006102, 101.720021), (3.00608, 101.720018), (3.005989, 101.719843), (3.005873, 101.719817), (3.005818, 101.719721), (3.005852, 101.71965), (3.005415, 101.719485), (3.004903, 101.719439), (3.004775, 101.719439), (3.004752, 101.719438), (3.004503, 101.719438), (3.004432, 101.719437), (3.00437, 101.719436), (3.004174, 101.719433), (3.004173, 101.719735)]"
ION2,3.008366,101.72091,KKA I,3.007845,101.72149,110.97,concrete,1.3,1.42,"[(3.008366, 101.72091), (3.008229, 101.721254), (3.008179, 101.721234), (3.007979, 101.721155), (3.007845, 101.72149)]"
ION2,3.008366,101.72091,KKA II,3.003791,101.720491,681.1,concrete,1.3,8.73,"[(3.008366, 101.72091), (3.008229, 101.721254), (3.008179, 101.721234), (3.007979, 101.721155), (3.007843, 101.7211), (3.007757, 101.721061), (3.00765, 101.721013), (3.007472, 101.720934), (3.007255, 101.720848), (3.007031, 101.720755), (3.007036, 101.720743), (3.006883, 101.72068), (3.006814, 101.720654), (3.006589, 101.720572), (3.006333, 101.720479), (3.005997, 101.721394), (3.00568, 101.721268), (3.005457, 101.721179), (3.005437, 101.721222), (3.005268, 101.721152), (3.005084, 101.721081), (3.004978, 101.721146), (3.004847, 101.720894), (3.004764, 101.720739), (3.004513, 101.720714), (3.00427, 101.720713), (3.004201, 101.720668), (3.004177, 101.720652), (3.003789, 101.720644), (3.003791, 101.720491)]"
ION2,3.008366,101.72091,KKK II,3.004514,101.720438,612.67,concrete,1.3,7.85,"[(3.008366, 101.72091), (3.008229, 101.721254), (3.008179, 101.721234), (3.007979, 101.721155), (3.007843, 101.7211), (3.007757, 101.721061), (3.00765, 101.721013), (3.007472, 101.720934), (3.007255, 101.720848), (3.007031, 101.720755), (3.007036, 101.720743), (3.006883, 101.72068), (3.006814, 101.720654), (3.006589, 101.720572), (3.006333, 101.720479), (3.005997, 101.721394), (3.00568, 101.721268), (3.005457, 101.721179), (3.005437, 101.721222), (3.005268, 101.721152), (3.005084, 101.721081), (3.004978, 101.721146), (3.004847, 101.720894), (3.004764, 101.720739), (3.004513, 101.720714), (3.004514, 101.720438)]"
ION2,3.008366,101.72091,KMP I,3.007385,101.721337,185.26,concrete,1.3,2.38,"[(3.008366, 101.72091), (3.008229, 101.721254), (3.008179, 101.721234), (3.007979, 101.721155), (3.007843, 101.7211), (3.007757, 101.721061), (3.00765, 101.721013), (3.007472, 101.720934), (3.007406, 101.721093), (3.007474, 101.721122), (3.007385, 101.721337)]"
ION2,3.008366,101.72091,KMP II,3.004601,101.721031,565.75,concrete,1.3,7.25,"[(3.008366, 101.72091), (3.008229, 101.721254), (3.008179, 101.721234), (3.007979, 101.721155), (3.007843, 101.7211), (3.007757, 101.721061), (3.00765, 101.721013), (3.007472, 101.720934), (3.007255, 101.720848), (3.007031, 101.720755), (3.007036, 101.720743), (3.006883, 101.72068), (3.006814, 101.720654), (3.006589, 101.720572), (3.006333, 101.720479), (3.005997, 101.721394), (3.00568, 101.721268), (3.005457, 101.721179), (3.005437, 101.721222), (3.005268, 101.721152), (3.005084, 101.721081), (3.004978, 101.721146), (3.004847, 101.720894), (3.00482, 101.72091), (3.004601, 101.721031)]"
ION2,3.008366,101.72091,KPM I,3.008275,101.721383,62.32,concrete,1.3,0.8,"[(3.008366, 101.72091), (3.008229, 101.721254), (3.008312, 101.721289), (3.008275, 101.721383)]"
ION2,3.008366,101.72091,KPM II,3.003631,101.71975,699.69,concrete,1.3,8.97,"[(3.008366, 101.72091), (3.008229, 101.721254), (3.008179, 101.721234), (3.007979, 101.721155), (3.007843, 101.7211), (3.007757, 101.721061), (3.00765, 101.721013), (3.007472, 101.720934), (3.007255, 101.720848), (3.007031, 101.720755), (3.007036, 101.720743), (3.006883, 101.72068), (3.006814, 101.720654), (3.006589, 101.720572), (3.006333, 101.720479), (3.006475, 101.720115), (3.00617, 101.719995), (3.006102, 101.720021), (3.00608, 101.720018), (3.005989, 101.719843), (3.005873, 101.719817), (3.005818, 101.719721), (3.005852, 101.71965), (3.005415, 101.719485), (3.004903, 101.719439), (3.004775, 101.719439), (3.004752, 101.719438), (3.004503, 101.719438), (3.004432, 101.719437), (3.00437, 101.719436), (3.004174, 101.719433), (3.004005, 101.719435), (3.003633, 101.719434), (3.003631, 101.71975)]"
ION2,3.008366,101.72091,Library,3.004833,101.719575,541.91,concrete,1.3,6.95,"[(3.008366, 101.72091), (3.008229, 101.721254), (3.008179, 101.721234), (3.007979, 101.721155), (3.007843, 101.7211), (3.007757, 101.721061), (3.00765, 101.721013), (3.007472, 101.720934), (3.007255, 101.720848), (3.007031, 101.720755), (3.007036, 101.720743), (3.006883, 101.72068), (3.006814, 101.720654), (3.006589, 101.720572), (3.006333, 101.720479), (3.006475, 101.720115), (3.00617, 101.719995), (3.006102, 101.720021), (3.00608, 101.720018), (3.005989, 101.719843), (3.005873, 101.719817), (3.005818, 101.719721), (3.005852, 101.71965), (3.005415, 101.719485), (3.004903, 101.719439), (3.004881, 101.719533), (3.004833, 101.719575)]"
