Start_Building,Start_Lat,Start_Lon,End_Building,End_Lat,End_Lon,Distance (m),Walking_Speed (m/s),ETA (min),Path,Terrain_concrete,Terrain_ground,Terrain_paved,Terrain_paving_stones
KKK II,3.004514,101.720438,KAW I,3.00676,101.720992,0.607240336923664,1.0,0.6819512195121952,"[(3.004514, 101.720438), (3.004513, 101.720714), (3.004764, 101.720739), (3.004847, 101.720894), (3.004978, 101.721146), (3.005084, 101.721081), (3.005268, 101.721152), (3.005437, 101.721222), (3.005457, 101.721179), (3.00568, 101.721268), (3.005997, 101.721394), (3.006686, 101.721655), (3.006671, 101.721697), (3.006763, 101.721731), (3.006848, 101.721528), (3.006873, 101.721471), (3.006827, 101.721453), (3.006689, 101.721399), (3.006839, 101.721022), (3.00676, 101.720992)]",0.0,0.0,0.0,1.0
KKK II,3.004514,101.720438,KAW II,3.004961,101.721446,0.2192938690458721,1.0,0.2526829268292683,"[(3.004514, 101.720438), (3.004513, 101.720714), (3.004764, 101.720739), (3.004847, 101.720894), (3.004978, 101.721146), (3.004871, 101.721149), (3.004773, 101.721204), (3.004776, 101.721386), (3.004961, 101.721446)]",0.0,0.0,0.0,1.0
KKK II,3.004514,101.720438,KBP I (EAST),3.006915,101.720413,0.5910545006309982,1.0,0.6643902439024391,"[(3.004514, 101.720438), (3.004513, 101.720714), (3.004764, 101.720739), (3.004847, 101.720894), (3.004978, 101.721146), (3.005084, 101.721081), (3.005268, 101.721152), (3.005437, 101.721222), (3.005457, 101.721179), (3.00568, 101.721268), (3.005997, 101.721394), (3.006333, 101.720479), (3.006589, 101.720572), (3.006814, 101.720654), (3.006915, 101.720413)]",0.0,0.0,0.0,1.0
KKK II,3.004514,101.720438,KBP I (NORTH),3.007784,101.720685,0.7560972030640097,1.0,0.8468292682926829,"[(3.004514, 101.720438), (3.004513, 101.720714), (3.004764, 101.720739), (3.004847, 101.720894), (3.004978, 101.721146), (3.005084, 101.721081), (3.005268, 101.721152), (3.005437, 101.721222), (3.005457, 101.721179), (3.00568, 101.721268), (3.005997, 101.721394), (3.006333, 101.720479), (3.006589, 101.720572), (3.006814, 101.720654), (3.006883, 101.72068), (3.007036, 101.720743), (3.007031, 101.720755), (3.007255, 101.720848), (3.007472, 101.720934), (3.00765, 101.721013), (3.007784, 101.720685)]",0.0,0.0,0.0,1.0
KKK II,3.004514,101.720438,KBP II,3.004822,101.722189,0.34622721803187273,1.0,0.3931707317073171,"[(3.004514, 101.720438), (3.004513, 101.720714), (3.00427, 101.720713), (3.004269, 101.720811), (3.004269, 101.720904), (3.004387, 101.721145), (3.0044, 101.721169), (3.00443, 101.721227), (3.004498, 101.721358), (3.004464, 101.721375), (3.004497, 101.721438), (3.004637, 101.72169), (3.004698, 101.721744), (3.004761, 101.721766), (3.004744, 101.721811), (3.004732, 101.721843), (3.004913, 101.721918), (3.004945, 101.721931), (3.004858, 101.722115), (3.004822, 101.722189)]",0.0,0.0,0.0,1.0
KKK II,3.004514,101.720438,KEE I,3.007416,101.720382,0.7008628532855927,1.0,0.7863414634146342,"[(3.004514, 101.720438), (3.004513, 101.720714), (3.004764, 101.720739), (3.004847, 101.720894), (3.004978, 101.721146), (3.005084, 101.721081), (3.005268, 101.721152), (3.005437, 101.721222), (3.005457, 101.721179), (3.00568, 101.721268), (3.005997, 101.721394), (3.006333, 101.720479), (3.006589, 101.720572), (3.006814, 101.720654), (3.006883, 101.72068), (3.007036, 101.720743), (3.00711, 101.720567), (3.007306, 101.720653), (3.007416, 101.720382)]",0.0,0.0,0.0,1.0
KKK II,3.004514,101.720438,KEE II,3.004173,101.719735,0.11732163296451736,1.0,0.13951219512195123,"[(3.004514, 101.720438), (3.004514, 101.720153), (3.004375, 101.720073), (3.004339, 101.72004), (3.004319, 101.720021), (3.004172, 101.720023), (3.004173, 101.719735)]",0.0,0.0,0.0,1.0
KKK II,3.004514,101.720438,KKA I,3.007845,101.72149,0.8153523317582837,1.0,0.913170731707317,"[(3.004514, 101.720438), (3.004513, 101.720714), (3.004764, 101.720739), (3.004847, 101.720894), (3.004978, 101.721146), (3.005084, 101.721081), (3.005268, 101.721152), (3.005437, 101.721222), (3.005457, 101.721179), (3.00568, 101.721268), (3.005997, 101.721394), (3.006333, 101.720479), (3.006589, 101.720572), (3.006814, 101.720654), (3.006883, 101.72068), (3.007036, 101.720743), (3.007031, 101.720755), (3.007255, 101.720848), (3.007472, 101.720934), (3.00765, 101.721013), (3.007757, 101.721061), (3.007843, 101.7211), (3.007979, 101.721155), (3.007845, 101.72149)]",0.0,0.0,0.0,1.0
KKK II,3.004514,101.720438,KKA II,3.003791,101.720491,0.15196783376867312,1.0,0.17756097560975612,"[(3.004514, 101.720438), (3.004513, 101.720714), (3.00427, 101.720713), (3.004201, 101.720668), (3.004177, 101.720652), (3.003789, 101.720644), (3.003791, 101.720491)]",0.0,0.0,0.0,1.0
KKK II,3.004514,101.720438,KMP I,3.007385,101.721337,0.6931294573415901,1.0,0.7775609756097561,"[(3.004514, 101.720438), (3.004513, 101.720714), (3.004764, 101.720739), (3.004847, 101.720894), (3.004978, 101.721146), (3.005084, 101.721081), (3.005268, 101.721152), (3.005437, 101.721222), (3.005457, 101.721179), (3.00568, 101.721268), (3.005997, 101.721394), (3.006686, 101.721655), (3.006671, 101.721697), (3.006763, 101.721731), (3.006848, 101.721528), (3.006873, 101.721471), (3.007037, 101.721538), (3.007244, 101.721023), (3.007406, 101.721093), (3.007474, 101.721122), (3.007385, 101.721337)]",0.0,0.0,0.0,1.0
KKK II,3.004514,101.720438,KMP II,3.004601,101.721031,0.12187068940216594,1.0,0.14439024390243904,"[(3.004514, 101.720438), (3.004513, 101.720714), (3.004764, 101.720739), (3.004847, 101.720894), (3.00482, 101.72091), (3.004601, 101.721031)]",0.0,0.0,0.0,1.0
KKK II,3.004514,101.720438,KPM I,3.008275,101.721383,0.8313033780412644,1.0,0.9307317073170732,"[(3.004514, 101.720438), (3.004513, 101.720714), (3.004764, 101.720739), (3.004847, 101.720894), (3.004978, 101.721146), (3.005084, 101.721081), (3.005268, 101.721152), (3.005437, 101.721222), (3.005457, 101.721179), (3.00568, 101.721268), (3.005997, 101.721394), (3.006333, 101.720479), (3.006589, 101.720572), (3.006814, 101.720654), (3.006883, 101.72068), (3.007036, 101.720743), (3.007031, 101.720755), (3.007255, 101.720848), (3.007472, 101.720934), (3.00765, 101.721013), (3.007757, 101.721061), (3.007843, 101.7211), (3.007979, 101.721155), (3.008179, 101.721234), (3.008229, 101.721254), (3.008312, 101.721289), (3.008275, 101.721383)]",0.0,0.0,0.0,1.0
